eeschema (2013-may-18)-stable  >> Creation date: Út 5. listopad 2013, 21:33:32 CET
#Cmp ( order = Reference )
| R57        39k         ; r_0603      ;             ;             ;             ;             ;             ;             ;             ;             
| R58        4k7         ; r_0603      ;             ;             ;             ;             ;             ;             ;             ;             
| R59        4k7         ; r_0603      ;             ;             ;             ;             ;             ;             ;             ;             
| R60        220R        ; r_0603      ;             ;             ;             ;             ;             ;             ;             ;             
| R61        39k         ; r_0603      ;             ;             ;             ;             ;             ;             ;             ;             
| R62        39k         ; r_0603      ;             ;             ;             ;             ;             ;             ;             ;             
| R63        470R        ; r_0603      ;             ;             ;             ;             ;             ;             ;             ;             
| R64        470R        ; r_0603      ;             ;             ;             ;             ;             ;             ;             ;             
| R65        470R        ; r_0603      ;             ;             ;             ;             ;             ;             ;             ;             
| SW1        STG719      ; sot23-6     ;             ;             ;             ;             ;             ;             ;             ;             
| U1         XBEE        ; xbee-smt    ;             ;             ;             ;             ;             ;             ;             ;             
| U2         LTC4411     ; sot23-5     ;             ;             ;             ;             ;             ;             ;             ;             
| U3         SN65HVD233  ; so-8        ;             ;             ;             ;             ;             ;             ;             ;             
| U4         ADP3338AKCZ-3.3; stabil_sot223_1;             ;             ;             ;             ;             ;             ;             ;             
| U5         LT1761-3.3  ; tsot-5      ;             ;             ;             ;             ;             ;             ;             ;             
| U6         EL1883      ; so-8        ;             ;             ;             ;             ;             ;             ;             ;             
| U7         STM32F405VG ; TQFP-100    ;             ;             ;             ;             ;             ;             ;             ;             
| U8         STM32F303CC ; lqfp48      ;             ;             ;             ;             ;             ;             ;             ;             
| U9         MS5611      ; MS5611      ;             ;             ;             ;             ;             ;             ;             ;             
| U10        MPU-6000    ; dandys_qfn24;             ;             ;             ;             ;             ;             ;             ;             
| U11        HMC5983     ; lpcc-16     ;             ;             ;             ;             ;             ;             ;             ;             
| X1         8MHz        ; crystal_smd_5x3.2mm;             ;             ;             ;             ;             ;             ;             ;             
| X2         8MHz        ; crystal_smd_5x3.2mm;             ;             ;             ;             ;             ;             ;             ;             
#End Cmp

#Cmp (dle hodnoty)
| 18pF         C25       ; c_0603      ;             ;             ;             ;             ;             ;             ;             ;             
| 18pF         C26       ; c_0603      ;             ;             ;             ;             ;             ;             ;             ;             
| 18pF         C38       ; c_0603      ;             ;             ;             ;             ;             ;             ;             ;             
| 18pF         C39       ; c_0603      ;             ;             ;             ;             ;             ;             ;             ;             
| 2.2nF/50V    C44       ; c_0603      ;             ;             ;             ;             ;             ;             ;             ;             
| 10nF         C11       ; c_0603      ;             ;             ;             ;             ;             ;             ;             ;             
| 56nF         C18       ; c_0603      ;             ;             ;             ;             ;             ;             ;             ;             
| 100nF        C1        ; c_0603      ;             ;             ;             ;             ;             ;             ;             ;             
| 100nF        C3        ; c_0603      ;             ;             ;             ;             ;             ;             ;             ;             
| 100nF        C5        ; c_0603      ;             ;             ;             ;             ;             ;             ;             ;             
| 100nF        C7        ; c_0603      ;             ;             ;             ;             ;             ;             ;             ;             
| 100nF        C8        ; c_0603      ;             ;             ;             ;             ;             ;             ;             ;             
| 100nF        C10       ; c_0603      ;             ;             ;             ;             ;             ;             ;             ;             
| 100nF        C12       ; c_0603      ;             ;             ;             ;             ;             ;             ;             ;             
| 100nF        C14       ; c_0603      ;             ;             ;             ;             ;             ;             ;             ;             
| 100nF        C15       ; c_0603      ;             ;             ;             ;             ;             ;             ;             ;             
| 100nF        C17       ; c_0603      ;             ;             ;             ;             ;             ;             ;             ;             
| 100nF        C19       ; c_0603      ;             ;             ;             ;             ;             ;             ;             ;             
| 100nF        C21       ; c_0603      ;             ;             ;             ;             ;             ;             ;             ;             
| 100nF        C23       ; c_0603      ;             ;             ;             ;             ;             ;             ;             ;             
| 100nF        C24       ; c_0603      ;             ;             ;             ;             ;             ;             ;             ;             
| 100nF        C28       ; c_0603      ;             ;             ;             ;             ;             ;             ;             ;             
| 100nF        C29       ; c_0603      ;             ;             ;             ;             ;             ;             ;             ;             
| 100nF        C30       ; c_0603      ;             ;             ;             ;             ;             ;             ;             ;             
| 100nF        C33       ; c_0603      ;             ;             ;             ;             ;             ;             ;             ;             
| 100nF        C34       ; c_0603      ;             ;             ;             ;             ;             ;             ;             ;             
| 100nF        C35       ; c_0603      ;             ;             ;             ;             ;             ;             ;             ;             
| 100nF        C36       ; c_0603      ;             ;             ;             ;             ;             ;             ;             ;             
| 100nF        C40       ; c_0603      ;             ;             ;             ;             ;             ;             ;             ;             
| 100nF        C42       ; c_0603      ;             ;             ;             ;             ;             ;             ;             ;             
| 100nF        C43       ; c_0603      ;             ;             ;             ;             ;             ;             ;             ;             
| 100nF        C46       ; c_0603      ;             ;             ;             ;             ;             ;             ;             ;             
| 220nF        C45       ; c_0603      ;             ;             ;             ;             ;             ;             ;             ;             
| 1uF          C31       ; c_0603      ;             ;             ;             ;             ;             ;             ;             ;             
| 1uF          C9        ; c_0805      ;             ;             ;             ;             ;             ;             ;             ;             
| 2.2uF        C20       ; c_0805      ;             ;             ;             ;             ;             ;             ;             ;             
| 2.2uF        C22       ; c_0805      ;             ;             ;             ;             ;             ;             ;             ;             
| 4.7uF        C37       ; c_0603      ;             ;             ;             ;             ;             ;             ;             ;             
| 4.7uF        C2        ; c_0805      ;             ;             ;             ;             ;             ;             ;             ;             
| 4.7uF        C4        ; c_0805      ;             ;             ;             ;             ;             ;             ;             ;             
| 4.7uF        C32       ; c_0805      ;             ;             ;             ;             ;             ;             ;             ;             
| 4.7uF        C41       ; c_0805      ;             ;             ;             ;             ;             ;             ;             ;             
